runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
27,3608,599.945,0,333,333,333,0,22
28,3553,599.436,0,333,333,333,0,22
29,3540,600.018,0,333,333,333,0,22
0,3688,599.68,0,333,333,333,0,23
1,3676,600.145,0,333,333,333,0,23
2,3655,603.296,0,333,333,333,0,23
3,3736,599.926,0,333,333,333,0,23
4,3618,599.483,0,333,333,333,0,23
5,3708,599.551,0,333,333,333,0,23
6,3697,599.876,0,333,333,333,0,23
7,3637,599.742,0,333,333,333,0,23
8,3568,600.023,0,333,333,333,0,23
9,3696,599.949,0,333,333,333,0,23
10,3682,600.019,0,333,333,333,0,23
11,3644,599.3,0,333,333,333,0,23
12,3685,599.221,0,333,333,333,0,23
13,3727,599.651,0,333,333,333,0,23
14,3651,599.563,0,333,333,333,0,23
15,3669,599.611,0,333,333,333,0,23
16,3550,599.39,0,333,333,333,0,23
17,3684,600.024,0,333,333,333,0,23
18,3652,599.483,0,333,333,333,0,23
19,3691,599.52,0,333,333,333,0,23
20,3733,599.628,0,333,333,333,0,23
21,3681,599.745,0,333,333,333,0,23
22,3730,599.634,0,333,333,333,0,23
23,3699,599.945,0,333,333,333,0,23
24,3628,599.815,0,333,333,333,0,23
25,3668,599.484,0,333,333,333,0,23
26,3688,599.507,0,333,333,333,0,23
27,3723,599.726,0,333,333,333,0,23
28,3657,599.754,0,333,333,333,0,23
29,3660,599.992,0,333,333,333,0,23
0,3643,599.79,0,333,333,333,0,24
1,3632,599.914,0,333,333,333,0,24
2,3597,600.52,0,333,333,333,0,24
3,3660,599.732,0,333,333,333,0,24
4,3597,599.436,0,333,333,333,0,24
5,3698,599.738,0,333,333,333,0,24
6,3649,599.984,0,333,333,333,0,24
7,3651,599.772,0,333,333,333,0,24
8,3586,599.94,0,333,333,333,0,24
9,3672,600.108,0,333,333,333,0,24
10,3647,599.943,0,333,333,333,0,24
11,3626,600.423,0,333,333,333,0,24
12,3646,599.842,0,333,333,333,0,24
13,3684,599.928,0,333,333,333,0,24
14,3636,599.81,0,333,333,333,0,24
15,3685,599.852,0,333,333,333,0,24
16,3533,600.043,0,333,333,333,0,24
17,3678,599.876,0,333,333,333,0,24
18,3628,599.964,0,333,333,333,0,24
19,3659,599.99,0,333,333,333,0,24
20,3657,599.564,0,333,333,333,0,24
21,3651,599.922,0,333,333,333,0,24
22,3655,599.869,0,333,333,333,0,24
23,3617,599.894,0,333,333,333,0,24
24,3589,599.949,0,333,333,333,0,24
25,3628,599.733,0,333,333,333,0,24
26,3655,600.129,0,333,333,333,0,24
27,3657,599.716,0,333,333,333,0,24
28,3660,599.525,0,333,333,333,0,24
29,3617,600.999,0,333,333,333,0,24
0,3718,599.796,0,333,333,333,0,25
1,3549,600.911,0,333,333,333,0,25
2,3549,600.089,0,333,333,333,0,25
3,3646,599.534,0,333,333,333,0,25
4,3548,599.834,0,333,333,333,0,25
5,3653,599.952,0,333,333,333,0,25
6,3610,599.87,0,333,333,333,0,25
7,3785,599.868,0,333,333,333,0,25
8,3557,599.701,0,333,333,333,0,25
9,3622,600.033,0,333,333,333,0,25
10,3571,599.821,0,333,333,333,0,25
11,3580,600.078,0,333,333,333,0,25
12,3591,600.34,0,333,333,333,0,25
13,3624,599.824,0,333,333,333,0,25
14,3671,599.908,0,333,333,333,0,25
15,3591,599.716,0,333,333,333,0,25
16,3476,600.018,0,333,333,333,0,25
17,3602,599.731,0,333,333,333,0,25
18,3550,599.98,0,333,333,333,0,25
19,3651,599.919,0,333,333,333,0,25
20,3627,600.08,0,333,333,333,0,25
21,3567,599.89,0,333,333,333,0,25
22,3563,599.865,0,333,333,333,0,25
23,3618,599.807,0,333,333,333,0,25
24,3564,600.039,0,333,333,333,0,25
25,3597,600.371,0,333,333,333,0,25
26,3620,599.94,0,333,333,333,0,25
27,3619,600.157,0,333,333,333,0,25
28,3572,600.173,0,333,333,333,0,25
29,3573,600.033,0,333,333,333,0,25
0,3670,599.716,0,333,333,333,0,26
1,3637,602.708,0,333,333,333,0,26
2,3626,601.248,0,333,333,333,0,26
3,3634,601.05,0,333,333,333,0,26
4,3619,600.782,0,333,333,333,0,26
5,3659,599.875,0,333,333,333,0,26
6,3647,599.992,0,333,333,333,0,26
7,3628,600.098,0,333,333,333,0,26
8,3568,600.029,0,333,333,333,0,26
9,3625,600.017,0,333,333,333,0,26
10,3699,600.274,0,333,333,333,0,26
11,3672,600.618,0,333,333,333,0,26
12,3678,599.583,0,333,333,333,0,26
13,3646,599.74,0,333,333,333,0,26
14,3656,599.761,0,333,333,333,0,26
15,3715,599.786,0,333,333,333,0,26
16,3550,599.641,0,333,333,333,0,26
17,3644,599.801,0,333,333,333,0,26
18,3622,600.479,0,333,333,333,0,26
19,3630,599.343,0,333,333,333,0,26
20,3666,599.897,0,333,333,333,0,26
21,3645,600.044,0,333,333,333,0,26
22,3554,599.653,0,333,333,333,0,26
23,3644,599.596,0,333,333,333,0,26
24,3624,600.029,0,333,333,333,0,26
25,3650,600.143,0,333,333,333,0,26
26,3651,599.384,0,333,333,333,0,26
27,3655,599.939,0,333,333,333,0,26
28,3638,599.852,0,333,333,333,0,26
29,3598,600.583,0,333,333,333,0,26
0,3800,599.914,0,333,333,333,0,27
1,3593,601.954,0,333,333,333,0,27
2,3619,599.48,0,333,333,333,0,27
3,3601,604.052,0,333,333,333,0,27
4,3645,600.233,0,333,333,333,0,27
5,3649,599.898,0,333,333,333,0,27
6,3644,599.877,0,333,333,333,0,27
7,3643,599.949,0,333,333,333,0,27
8,3544,599.801,0,333,333,333,0,27
9,3620,600.042,0,333,333,333,0,27
10,3828,600.343,0,333,333,333,0,27
11,3673,600.304,0,333,333,333,0,27
12,3700,599.862,0,333,333,333,0,27
13,3736,599.668,0,333,333,333,0,27
14,3664,599.513,0,333,333,333,0,27
15,3656,599.809,0,333,333,333,0,27
16,3518,599.911,0,333,333,333,0,27
17,3688,599.837,0,333,333,333,0,27
18,3607,599.852,0,333,333,333,0,27
19,3606,599.658,0,333,333,333,0,27
20,3722,600.032,0,333,333,333,0,27
21,3630,599.734,0,333,333,333,0,27
22,3608,599.908,0,333,333,333,0,27
23,3634,599.853,0,333,333,333,0,27
24,3668,599.892,0,333,333,333,0,27
25,3605,599.557,0,333,333,333,0,27
26,3650,599.979,0,333,333,333,0,27
27,3617,600.001,0,333,333,333,0,27
28,3620,599.98,0,333,333,333,0,27
29,3589,600.533,0,333,333,333,0,27
0,3645,599.966,0,333,333,333,0,28
1,3626,602.018,0,333,333,333,0,28
2,3652,601.556,0,333,333,333,0,28
3,3700,602.422,0,333,333,333,0,28
4,3639,599.184,0,333,333,333,0,28
5,3694,599.703,0,333,333,333,0,28
6,3612,599.867,0,333,333,333,0,28
7,3570,600.032,0,333,333,333,0,28
8,3561,600.084,0,333,333,333,0,28
9,3658,599.811,0,333,333,333,0,28
10,3605,600.382,0,333,333,333,0,28
11,3603,600.037,0,333,333,333,0,28
12,3598,599.879,0,333,333,333,0,28
13,3646,599.631,0,333,333,333,0,28
14,3652,599.775,0,333,333,333,0,28
15,3639,599.847,0,333,333,333,0,28
16,3503,599.908,0,333,333,333,0,28
17,3644,599.975,0,333,333,333,0,28
18,3597,599.956,0,333,333,333,0,28
19,3630,599.641,0,333,333,333,0,28
20,3645,599.775,0,333,333,333,0,28
21,3634,599.796,0,333,333,333,0,28
22,3588,599.88,0,333,333,333,0,28
23,3625,599.907,0,333,333,333,0,28
